Cluster,Datetime,Day,Group_size
5.0,"('2/4/2019 14:21', '2/4/2019 14:32')","('monday', 'monday')",5.0
2.0,"('2/4/2019 14:35', '2/4/2019 14:38')","('monday', 'monday')",2.0
5.0,"('2/4/2019 14:41', '2/4/2019 14:43')","('monday', 'monday')",2.0
2.0,"('2/4/2019 14:46', '2/4/2019 14:46')","('monday', 'monday')",1.0
5.0,"('2/4/2019 14:51', '2/4/2019 14:51')","('monday', 'monday')",1.0
4.0,"('2/4/2019 14:56', '2/4/2019 16:37')","('monday', 'monday')",24.0
2.0,"('2/4/2019 16:42', '2/4/2019 16:42')","('monday', 'monday')",1.0
5.0,"('2/4/2019 16:47', '2/4/2019 16:47')","('monday', 'monday')",1.0
2.0,"('2/4/2019 16:50', '2/4/2019 16:50')","('monday', 'monday')",1.0
5.0,"('2/4/2019 16:52', '2/4/2019 16:52')","('monday', 'monday')",1.0
2.0,"('2/4/2019 16:57', '2/4/2019 16:57')","('monday', 'monday')",1.0
5.0,"('2/4/2019 16:59', '2/4/2019 18:17')","('monday', 'monday')",24.0
2.0,"('2/4/2019 18:21', '2/4/2019 18:37')","('monday', 'monday')",6.0
5.0,"('2/4/2019 18:40', '2/4/2019 18:43')","('monday', 'monday')",2.0
1.0,"('2/4/2019 18:47', '2/4/2019 18:47')","('monday', 'monday')",1.0
2.0,"('2/4/2019 18:49', '2/4/2019 18:49')","('monday', 'monday')",1.0
4.0,"('2/4/2019 19:00', '2/4/2019 19:13')","('monday', 'monday')",3.0
3.0,"('2/4/2019 19:17', '2/4/2019 19:17')","('monday', 'monday')",1.0
4.0,"('2/4/2019 19:22', '2/4/2019 19:42')","('monday', 'monday')",5.0
5.0,"('2/4/2019 19:54', '2/4/2019 20:38')","('monday', 'monday')",7.0
1.0,"('2/4/2019 20:40', '2/4/2019 20:43')","('monday', 'monday')",2.0
4.0,"('2/4/2019 20:45', '2/4/2019 20:45')","('monday', 'monday')",1.0
1.0,"('2/4/2019 20:48', '2/4/2019 20:57')","('monday', 'monday')",4.0
5.0,"('2/5/2019 11:07', '2/5/2019 11:12')","('tuesday', 'tuesday')",2.0
2.0,"('2/5/2019 11:15', '2/5/2019 11:23')","('tuesday', 'tuesday')",3.0
4.0,"('2/5/2019 11:26', '2/5/2019 11:26')","('tuesday', 'tuesday')",1.0
2.0,"('2/5/2019 11:29', '2/5/2019 11:35')","('tuesday', 'tuesday')",3.0
4.0,"('2/5/2019 11:37', '2/5/2019 11:53')","('tuesday', 'tuesday')",6.0
1.0,"('2/5/2019 11:57', '2/5/2019 12:06')","('tuesday', 'tuesday')",4.0
3.0,"('2/5/2019 12:10', '2/5/2019 12:10')","('tuesday', 'tuesday')",1.0
4.0,"('2/5/2019 12:16', '2/5/2019 12:20')","('tuesday', 'tuesday')",2.0
5.0,"('2/5/2019 12:24', '2/5/2019 12:24')","('tuesday', 'tuesday')",1.0
2.0,"('2/5/2019 12:28', '2/5/2019 12:45')","('tuesday', 'tuesday')",6.0
5.0,"('2/5/2019 12:50', '2/5/2019 12:50')","('tuesday', 'tuesday')",1.0
2.0,"('2/5/2019 12:55', '2/5/2019 12:55')","('tuesday', 'tuesday')",1.0
5.0,"('2/5/2019 13:01', '2/5/2019 13:01')","('tuesday', 'tuesday')",1.0
2.0,"('2/5/2019 13:05', '2/5/2019 13:10')","('tuesday', 'tuesday')",2.0
