Datetime,Day,Image filename,Location,Purpose,Cluster
2019-02-04 14:21:46,monday,week/img (1).jpg,outside,travel - walking,5.0
2019-02-04 14:25:02,monday,week/img (2).jpg,outside,travel - walking,5.0
2019-02-04 14:27:58,monday,week/img (3).jpg,outside,travel - walking,5.0
2019-02-04 14:30:46,monday,week/img (4).jpg,outside,travel - walking,5.0
2019-02-04 14:32:49,monday,week/img (5).jpg,outside,travel - walking,5.0
2019-02-04 14:35:19,monday,week/img (6).jpg,outside,travel - walking,2.0
2019-02-04 14:38:08,monday,week/img (7).jpg,outside,travel - walking,2.0
2019-02-04 14:41:00,monday,week/img (8).jpg,outside,travel - walking,5.0
2019-02-04 14:43:27,monday,week/img (9).jpg,outside,travel - walking,5.0
2019-02-04 14:46:46,monday,week/img (10).jpg,Founders Memorial Library,study,2.0
2019-02-04 14:51:41,monday,week/img (11).jpg,Founders Memorial Library,study,5.0
2019-02-04 14:56:12,monday,week/img (12).jpg,Founders Memorial Library,study,4.0
2019-02-04 15:00:44,monday,week/img (13).jpg,Founders Memorial Library,study,4.0
2019-02-04 15:04:18,monday,week/img (14).jpg,Founders Memorial Library,study,4.0
2019-02-04 15:08:29,monday,week/img (15).jpg,Founders Memorial Library,study,4.0
2019-02-04 15:11:04,monday,week/img (16).jpg,Founders Memorial Library,study,4.0
2019-02-04 15:14:54,monday,week/img (17).jpg,Founders Memorial Library,study,4.0
2019-02-04 15:18:53,monday,week/img (18).jpg,Founders Memorial Library,study,4.0
2019-02-04 15:22:09,monday,week/img (19).jpg,Founders Memorial Library,study,4.0
2019-02-04 15:25:36,monday,week/img (20).jpg,Founders Memorial Library,study,4.0
2019-02-04 15:30:47,monday,week/img (21).jpg,Founders Memorial Library,study,4.0
2019-02-04 15:33:44,monday,week/img (22).jpg,Founders Memorial Library,study,4.0
2019-02-04 15:36:53,monday,week/img (23).jpg,Founders Memorial Library,study,4.0
2019-02-04 15:42:25,monday,week/img (24).jpg,Founders Memorial Library,study,4.0
2019-02-04 15:48:24,monday,week/img (25).jpg,Founders Memorial Library,study,4.0
2019-02-04 15:55:14,monday,week/img (26).jpg,Founders Memorial Library,study,4.0
2019-02-04 15:59:10,monday,week/img (27).jpg,Founders Memorial Library,study,4.0
2019-02-04 16:04:59,monday,week/img (28).jpg,Founders Memorial Library,study,4.0
2019-02-04 16:09:19,monday,week/img (29).jpg,Founders Memorial Library,study,4.0
2019-02-04 16:13:45,monday,week/img (30).jpg,Founders Memorial Library,study,4.0
2019-02-04 16:17:44,monday,week/img (31).jpg,Founders Memorial Library,study,4.0
2019-02-04 16:24:00,monday,week/img (32).jpg,Founders Memorial Library,study,4.0
2019-02-04 16:28:48,monday,week/img (33).jpg,Founders Memorial Library,study,4.0
2019-02-04 16:32:55,monday,week/img (34).jpg,Founders Memorial Library,study,4.0
2019-02-04 16:37:01,monday,week/img (35).jpg,Founders Memorial Library,study,4.0
2019-02-04 16:42:55,monday,week/img (36).jpg,Founders Memorial Library,study,2.0
2019-02-04 16:47:22,monday,week/img (37).jpg,Founders Memorial Library,study,5.0
2019-02-04 16:50:07,monday,week/img (38).jpg,Founders Memorial Library,study,2.0
2019-02-04 16:52:56,monday,week/img (39).jpg,outside,travel - walking,5.0
2019-02-04 16:57:04,monday,week/img (40).jpg,CSCI Building,Attending CSCI 627,2.0
2019-02-04 16:59:06,monday,week/img (41).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:02:38,monday,week/img (42).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:05:37,monday,week/img (43).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:08:44,monday,week/img (44).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:13:35,monday,week/img (45).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:16:49,monday,week/img (46).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:20:27,monday,week/img (47).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:25:08,monday,week/img (48).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:28:26,monday,week/img (49).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:35:11,monday,week/img (50).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:38:10,monday,week/img (51).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:40:27,monday,week/img (52).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:43:07,monday,week/img (53).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:47:24,monday,week/img (54).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:50:57,monday,week/img (55).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:54:01,monday,week/img (56).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 17:58:24,monday,week/img (57).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 18:01:24,monday,week/img (58).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 18:04:17,monday,week/img (59).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 18:06:48,monday,week/img (60).jpg,CSCI Building,Attending CSCI 627,5.0
