Datetime,Day,Image filename,Location,Purpose
2/4/2019 14:21,monday,week/img (1).jpg,outside,travel - walking
2/4/2019 14:25,monday,week/img (2).jpg,outside,travel - walking
2/4/2019 14:27,monday,week/img (3).jpg,outside,travel - walking
2/4/2019 14:30,monday,week/img (4).jpg,outside,travel - walking
2/4/2019 14:32,monday,week/img (5).jpg,outside,travel - walking
2/4/2019 14:35,monday,week/img (6).jpg,outside,travel - walking
2/4/2019 14:38,monday,week/img (7).jpg,outside,travel - walking
2/4/2019 14:41,monday,week/img (8).jpg,outside,travel - walking
2/4/2019 14:43,monday,week/img (9).jpg,outside,travel - walking
2/4/2019 14:46,monday,week/img (10).jpg,Founders Memorial Library,study
2/4/2019 14:51,monday,week/img (11).jpg,Founders Memorial Library,study
2/4/2019 14:56,monday,week/img (12).jpg,Founders Memorial Library,study
2/4/2019 15:00,monday,week/img (13).jpg,Founders Memorial Library,study
2/4/2019 15:04,monday,week/img (14).jpg,Founders Memorial Library,study
2/4/2019 15:08,monday,week/img (15).jpg,Founders Memorial Library,study
2/4/2019 15:11,monday,week/img (16).jpg,Founders Memorial Library,study
2/4/2019 15:14,monday,week/img (17).jpg,Founders Memorial Library,study
2/4/2019 15:18,monday,week/img (18).jpg,Founders Memorial Library,study
2/4/2019 15:22,monday,week/img (19).jpg,Founders Memorial Library,study
2/4/2019 15:25,monday,week/img (20).jpg,Founders Memorial Library,study
2/4/2019 15:30,monday,week/img (21).jpg,Founders Memorial Library,study
2/4/2019 15:33,monday,week/img (22).jpg,Founders Memorial Library,study
2/4/2019 15:36,monday,week/img (23).jpg,Founders Memorial Library,study
2/4/2019 15:42,monday,week/img (24).jpg,Founders Memorial Library,study
2/4/2019 15:48,monday,week/img (25).jpg,Founders Memorial Library,study
2/4/2019 15:55,monday,week/img (26).jpg,Founders Memorial Library,study
2/4/2019 15:59,monday,week/img (27).jpg,Founders Memorial Library,study
2/4/2019 16:04,monday,week/img (28).jpg,Founders Memorial Library,study
2/4/2019 16:09,monday,week/img (29).jpg,Founders Memorial Library,study
2/4/2019 16:13,monday,week/img (30).jpg,Founders Memorial Library,study
2/4/2019 16:17,monday,week/img (31).jpg,Founders Memorial Library,study
2/4/2019 16:24,monday,week/img (32).jpg,Founders Memorial Library,study
2/4/2019 16:28,monday,week/img (33).jpg,Founders Memorial Library,study
2/4/2019 16:32,monday,week/img (34).jpg,Founders Memorial Library,study
2/4/2019 16:37,monday,week/img (35).jpg,Founders Memorial Library,study
2/4/2019 16:42,monday,week/img (36).jpg,Founders Memorial Library,study
2/4/2019 16:47,monday,week/img (37).jpg,Founders Memorial Library,study
2/4/2019 16:50,monday,week/img (38).jpg,Founders Memorial Library,study
2/4/2019 16:52,monday,week/img (39).jpg,outside,travel - walking
